record_id,Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
1,2021,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Other Race/ Ethnicity,9,,
2,2021,All Other Causes,Female,Not Stated/Unknown,102,,
3,2021,Chronic Liver Diseases and Cirrhosis,Male,Not Stated/Unknown,16,,
4,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Hispanic,1409,111,95.5
5,2021,Influenza (Flu) and Pneumonia (J09-J18),Male,Not Stated/Unknown,16,,
6,2021,Influenza (Flu) and Pneumonia (J09-J18),Female,Other Race/ Ethnicity,4,,
7,2021,Malignant Neoplasms (Cancer: C00-C97),Female,Hispanic,1157,91.2,80.8
8,2021,Covid-19,Female,Hispanic,966,76.1,66.8
9,2021,Cerebrovascular Disease (Stroke: I60-I69),Female,Hispanic,265,20.9,18
10,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Not Stated/Unknown,113,,
11,2021,All Other Causes,Female,Other Race/ Ethnicity,71,,
12,2021,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Hispanic,233,18.4,17.8
13,2021,Alzheimer's Disease (G30),Female,Hispanic,223,17.6,14.7
14,2021,Diabetes Mellitus (E10-E14),Female,Hispanic,184,14.5,12.6
15,2021,Diabetes Mellitus (E10-E14),Female,Not Stated/Unknown,7,,
16,2021,Influenza (Flu) and Pneumonia (J09-J18),Female,Hispanic,169,13.3,11.6
17,2021,Chronic Lower Respiratory Diseases (J40-J47),Female,Hispanic,163,12.8,11.3
18,2021,Cerebrovascular Disease (Stroke: I60-I69),Male,Not Stated/Unknown,16,,
19,2021,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Hispanic,147,11.6,9.9
20,2021,All Other Causes,Female,Hispanic,1589,125.2,111
21,2021,Malignant Neoplasms (Cancer: C00-C97),Female,Asian and Pacific Islander,615,91.6,73.9
22,2021,Malignant Neoplasms (Cancer: C00-C97),Female,Not Stated/Unknown,59,,
23,2021,Mental and Behavioral Disorders due to Use of Alcohol (F10),Male,Not Stated/Unknown,16,,
24,2021,Alzheimer's Disease (G30),Female,Not Stated/Unknown,7,,
25,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Asian and Pacific Islander,607,90.4,70.3
26,2021,Covid-19,Female,Asian and Pacific Islander,413,61.5,48.9
27,2021,Cerebrovascular Disease (Stroke: I60-I69),Female,Asian and Pacific Islander,128,19.1,15.2
28,2021,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Male,Not Stated/Unknown,17,,
29,2021,Diabetes Mellitus (E10-E14),Female,Asian and Pacific Islander,77,11.5,9
30,2021,Chronic Lower Respiratory Diseases (J40-J47),Male,Not Stated/Unknown,17,,
31,2021,Influenza (Flu) and Pneumonia (J09-J18),Female,Asian and Pacific Islander,64,9.5,7.5
32,2021,Covid-19,Female,Not Stated/Unknown,33,,
33,2021,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Asian and Pacific Islander,60,8.9,7
34,2021,Alzheimer's Disease (G30),Female,Asian and Pacific Islander,59,8.8,6.8
35,2021,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Asian and Pacific Islander,42,6.3,5.2
36,2021,Chronic Lower Respiratory Diseases (J40-J47),Female,Asian and Pacific Islander,40,6,4.6
37,2021,All Other Causes,Female,Asian and Pacific Islander,559,83.2,68.7
38,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Non-Hispanic White,3601,263.5,132.7
39,2021,Malignant Neoplasms (Cancer: C00-C97),Female,Non-Hispanic White,2427,177.6,112.8
40,2021,Covid-19,Female,Non-Hispanic White,1152,84.3,46.3
41,2021,Cerebrovascular Disease (Stroke: I60-I69),Female,Non-Hispanic White,451,33,16.5
42,2021,Cerebrovascular Disease (Stroke: I60-I69),Female,Not Stated/Unknown,17,,
43,2021,Alzheimer's Disease (G30),Female,Non-Hispanic White,343,25.1,11.2
44,2021,Chronic Lower Respiratory Diseases (J40-J47),Female,Non-Hispanic White,342,25,13.8
45,2021,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Not Stated/Unknown,15,,
46,2021,Septicemia,Male,Not Stated/Unknown,17,,
47,2021,Influenza (Flu) and Pneumonia (J09-J18),Female,Non-Hispanic White,293,21.4,11.1
48,2021,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Not Stated/Unknown,20,,
49,2021,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Non-Hispanic White,224,16.4,8
50,2021,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Non-Hispanic White,213,15.6,9.2
51,2021,All Other Causes,Male,Not Stated/Unknown,163,,
52,2021,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Non-Hispanic White,189,13.8,13.1
53,2021,All Other Causes,Female,Non-Hispanic White,2670,195.4,116.8
54,2021,Diabetes Mellitus (E10-E14),Male,Not Stated/Unknown,22,,
55,2021,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Not Stated/Unknown,53,,
56,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Non-Hispanic Black,2356,235.4,162.7
57,2021,Malignant Neoplasms (Cancer: C00-C97),Female,Non-Hispanic Black,1621,161.9,118.6
58,2021,Covid-19,Female,Non-Hispanic Black,1029,102.8,74.2
59,2021,Cerebrovascular Disease (Stroke: I60-I69),Female,Non-Hispanic Black,365,36.5,25.3
60,2021,Diabetes Mellitus (E10-E14),Female,Non-Hispanic Black,341,34.1,24.3
61,2021,Certain Conditions Originating in the Perinatal Period (P00-P96),Female,Not Stated/Unknown,15,,
62,2021,Covid-19,Male,Not Stated/Unknown,66,,
63,2021,Malignant Neoplasms (Cancer: C00-C97),Male,Not Stated/Unknown,84,,
64,2021,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Non-Hispanic Black,273,27.3,18.8
65,2021,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Non-Hispanic Black,229,22.9,20.3
66,2021,Influenza (Flu) and Pneumonia (J09-J18),Female,Not Stated/Unknown,12,,
67,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Not Stated/Unknown,190,,
68,2021,All Other Causes,Male,Other Race/ Ethnicity,84,,
69,2021,Influenza (Flu) and Pneumonia (J09-J18),Female,Non-Hispanic Black,220,22,15.3
70,2021,Chronic Lower Respiratory Diseases (J40-J47),Female,Non-Hispanic Black,186,18.6,13.3
71,2021,Alzheimer's Disease (G30),Female,Non-Hispanic Black,175,17.5,11.1
72,2021,All Other Causes,Female,Non-Hispanic Black,1993,199.1,151
73,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Other Race/ Ethnicity,85,,
74,2021,Chronic Lower Respiratory Diseases (J40-J47),Female,Not Stated/Unknown,11,,
75,2021,Covid-19,Female,Other Race/ Ethnicity,62,,
76,2021,Malignant Neoplasms (Cancer: C00-C97),Female,Other Race/ Ethnicity,61,,
77,2021,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Not Stated/Unknown,10,,
78,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Hispanic,1565,131,156.8
79,2021,Covid-19,Male,Hispanic,1236,103.4,119.4
80,2021,Malignant Neoplasms (Cancer: C00-C97),Male,Hispanic,1123,94,110.1
81,2021,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Hispanic,714,59.7,58.2
82,2021,Diabetes Mellitus (E10-E14),Female,Other Race/ Ethnicity,15,,
83,2021,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Hispanic,255,21.3,22.8
84,2021,Diabetes Mellitus (E10-E14),Male,Hispanic,213,17.8,20.7
85,2021,Cerebrovascular Disease (Stroke: I60-I69),Male,Hispanic,209,17.5,21.2
86,2021,Influenza (Flu) and Pneumonia (J09-J18),Male,Hispanic,195,16.3,19.6
87,2021,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)",Male,Hispanic,188,15.7,16
88,2021,Chronic Lower Respiratory Diseases (J40-J47),Male,Hispanic,116,9.7,11.7
89,2021,All Other Causes,Male,Hispanic,1695,141.8,162.7
90,2021,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,15,,
91,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Asian and Pacific Islander,777,126.2,114.9
92,2021,Covid-19,Male,Asian and Pacific Islander,739,120,105.2
93,2021,Malignant Neoplasms (Cancer: C00-C97),Male,Asian and Pacific Islander,719,116.8,102.1
94,2021,Cerebrovascular Disease (Stroke: I60-I69),Male,Asian and Pacific Islander,133,21.6,19.9
95,2021,Influenza (Flu) and Pneumonia (J09-J18),Male,Asian and Pacific Islander,109,17.7,16.4
96,2021,Diabetes Mellitus (E10-E14),Male,Asian and Pacific Islander,94,15.3,13.6
97,2021,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Asian and Pacific Islander,91,14.8,13.7
98,2021,Septicemia,Female,Other Race/ Ethnicity,7,,
99,2021,Chronic Lower Respiratory Diseases (J40-J47),Male,Asian and Pacific Islander,67,10.9,10.1
100,2021,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Male,Asian and Pacific Islander,63,10.2,9.4
101,2021,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Male,Asian and Pacific Islander,53,8.6,8.3
102,2021,All Other Causes,Male,Asian and Pacific Islander,651,105.7,99.5
103,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Non-Hispanic White,3453,261.5,189.7
104,2021,Alzheimer's Disease (G30),Female,Other Race/ Ethnicity,6,,
105,2021,Malignant Neoplasms (Cancer: C00-C97),Male,Non-Hispanic White,2377,180,132.9
106,2021,Human Immunodeficiency Viruses Diseases,Female,Not Stated/Unknown,7,,
107,2021,Covid-19,Male,Non-Hispanic White,1539,116.6,84.6
108,2021,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Non-Hispanic White,593,44.9,41.4
109,2021,Influenza (Flu) and Pneumonia (J09-J18),Male,Non-Hispanic White,339,25.7,18.2
110,2021,Cerebrovascular Disease (Stroke: I60-I69),Male,Non-Hispanic White,279,21.1,15.2
111,2021,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Non-Hispanic White,266,20.1,16.6
112,2021,Chronic Lower Respiratory Diseases (J40-J47),Male,Non-Hispanic White,264,20,14.2
113,2021,Diabetes Mellitus (E10-E14),Male,Non-Hispanic White,263,19.9,14.8
114,2021,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Male,Non-Hispanic White,187,14.2,10.2
115,2021,All Other Causes,Male,Non-Hispanic White,2777,210.3,161.9
116,2021,Chronic Lower Respiratory Diseases (J40-J47),Female,Other Race/ Ethnicity,6,,
117,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Non-Hispanic Black,2306,272.5,259.8
118,2021,Malignant Neoplasms (Cancer: C00-C97),Male,Non-Hispanic Black,1283,151.6,141.8
119,2021,Covid-19,Male,Non-Hispanic Black,916,108.2,102.1
120,2021,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Non-Hispanic Black,652,77,69.5
121,2021,Diabetes Mellitus (E10-E14),Male,Non-Hispanic Black,304,35.9,33.7
122,2021,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)",Male,Non-Hispanic Black,291,34.4,34.9
123,2021,Cerebrovascular Disease (Stroke: I60-I69),Male,Non-Hispanic Black,260,30.7,29.4
124,2021,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Non-Hispanic Black,211,24.9,24.1
125,2021,Influenza (Flu) and Pneumonia (J09-J18),Male,Non-Hispanic Black,196,23.2,22.5
126,2021,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Male,Non-Hispanic Black,182,21.5,20.8
127,2021,All Other Causes,Male,Non-Hispanic Black,1886,222.9,216.1
128,2021,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Other Race/ Ethnicity,106,,
129,2021,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Other Race/ Ethnicity,5,,
130,2021,Covid-19,Male,Other Race/ Ethnicity,78,,
131,2021,Malignant Neoplasms (Cancer: C00-C97),Male,Other Race/ Ethnicity,52,,
132,2021,Diabetes Mellitus (E10-E14),Male,Other Race/ Ethnicity,15,,
133,2021,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,14,,
134,2021,Cerebrovascular Disease (Stroke: I60-I69),Male,Other Race/ Ethnicity,11,,
135,2021,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Male,Other Race/ Ethnicity,9,,
136,2021,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Other Race/ Ethnicity,4,,
137,2021,Chronic Liver Diseases and Cirrhosis,Male,Other Race/ Ethnicity,9,,
138,2021,Alzheimer's Disease (G30),Male,Other Race/ Ethnicity,9,,
139,2021,Influenza (Flu) and Pneumonia (J09-J18),Male,Other Race/ Ethnicity,11,,
140,2020,Cerebrovascular Disease (Stroke: I60-I69),Male,Hispanic,215,17.5,22.2
141,2020,All Other Causes,Female,Not Stated/Unknown,108,,
142,2020,Influenza (Flu) and Pneumonia (J09-J18),Female,Not Stated/Unknown,9,,
143,2020,Cerebrovascular Disease (Stroke: I60-I69),Female,Not Stated/Unknown,11,,
144,2020,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Not Stated/Unknown,12,,
145,2020,Certain Conditions Originating in the Perinatal Period (P00-P96),Female,Not Stated/Unknown,13,,
146,2020,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Not Stated/Unknown,14,,
147,2020,Chronic Lower Respiratory Diseases (J40-J47),Female,Not Stated/Unknown,23,,
148,2020,Diabetes Mellitus (E10-E14),Female,Not Stated/Unknown,23,,
149,2020,Malignant Neoplasms (Cancer: C00-C97),Female,Not Stated/Unknown,73,,
150,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Not Stated/Unknown,140,,
151,2020,Covid-19,Female,Not Stated/Unknown,181,,
152,2020,All Other Causes,Female,Other Race/ Ethnicity,81,,
153,2020,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Other Race/ Ethnicity,5,,
154,2020,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Female,Other Race/ Ethnicity,5,,
155,2020,Alzheimer's Disease (G30),Female,Other Race/ Ethnicity,5,,
156,2020,Influenza (Flu) and Pneumonia (J09-J18),Female,Other Race/ Ethnicity,6,,
157,2020,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Other Race/ Ethnicity,7,,
158,2020,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,13,,
159,2020,Diabetes Mellitus (E10-E14),Female,Other Race/ Ethnicity,15,,
160,2020,Malignant Neoplasms (Cancer: C00-C97),Female,Other Race/ Ethnicity,46,,
161,2020,Covid-19,Female,Other Race/ Ethnicity,82,,
162,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Other Race/ Ethnicity,100,,
163,2020,All Other Causes,Female,Non-Hispanic Black,2059,200.1,154.8
164,2020,Alzheimer's Disease (G30),Female,Non-Hispanic Black,146,14.2,9.4
165,2020,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Non-Hispanic Black,163,15.8,14
166,2020,Chronic Lower Respiratory Diseases (J40-J47),Female,Non-Hispanic Black,253,24.6,18.3
167,2020,Influenza (Flu) and Pneumonia (J09-J18),Female,Non-Hispanic Black,254,24.7,17.9
168,2020,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Non-Hispanic Black,346,33.6,23.9
169,2020,Cerebrovascular Disease (Stroke: I60-I69),Female,Non-Hispanic Black,369,35.9,25.4
170,2020,Diabetes Mellitus (E10-E14),Female,Non-Hispanic Black,486,47.2,34.4
171,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Non-Hispanic Black,3160,307,217.1
172,2020,All Other Causes,Female,Non-Hispanic White,2730,188.7,113.9
173,2020,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Non-Hispanic White,161,11.1,6.9
174,2020,Diabetes Mellitus (E10-E14),Female,Non-Hispanic White,198,13.7,8.2
175,2020,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Non-Hispanic White,225,15.6,7.9
176,2020,Influenza (Flu) and Pneumonia (J09-J18),Female,Non-Hispanic White,350,24.2,12.9
177,2020,Alzheimer's Disease (G30),Female,Non-Hispanic White,365,25.2,11.5
178,2020,Chronic Lower Respiratory Diseases (J40-J47),Female,Non-Hispanic White,405,28,15.7
179,2020,Cerebrovascular Disease (Stroke: I60-I69),Female,Non-Hispanic White,408,28.2,14.8
180,2020,Covid-19,Female,Non-Hispanic White,2362,163.3,91.8
181,2020,Malignant Neoplasms (Cancer: C00-C97),Female,Non-Hispanic White,2500,172.8,114.2
182,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Non-Hispanic White,4518,312.3,159.5
183,2020,All Other Causes,Female,Asian and Pacific Islander,561,81.8,70.2
184,2020,Chronic Lower Respiratory Diseases (J40-J47),Female,Asian and Pacific Islander,39,5.7,4.8
185,2020,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Asian and Pacific Islander,44,6.4,5.5
186,2020,Alzheimer's Disease (G30),Female,Asian and Pacific Islander,68,9.9,8.3
187,2020,Influenza (Flu) and Pneumonia (J09-J18),Female,Asian and Pacific Islander,91,13.3,11.1
188,2020,Diabetes Mellitus (E10-E14),Female,Asian and Pacific Islander,91,13.3,11.1
189,2020,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Asian and Pacific Islander,94,13.7,11.4
190,2020,Cerebrovascular Disease (Stroke: I60-I69),Female,Asian and Pacific Islander,119,17.4,14.5
191,2020,Malignant Neoplasms (Cancer: C00-C97),Female,Asian and Pacific Islander,599,87.4,73.9
192,2020,Covid-19,Female,Asian and Pacific Islander,733,106.9,89.8
193,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Asian and Pacific Islander,785,114.5,95.8
194,2020,All Other Causes,Female,Hispanic,1478,113.6,104.1
195,2020,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Hispanic,133,10.2,9.9
